Food_Code,Food_Name,Nutrient_Payload
D034,"[D034] Capsicum, red (Capsicum annuum)","Macronutrients [Protein: 1.47±0.36g, Fat: 0.76±0.14g, Carbs: 2.14±1.06g] | Water-Soluble Vitamins [Folate (B9): 0.19±0.02 mcg, Vitamin C: 28.42±8.83 mg, B1: 4 mg, B2: 0.52±0.11 mg] | Minerals [Calcium: 0.25±0.06 mg, Iron: 0.001±0.001 mg, Magnesium: 15.76±1.11 mg, Zinc: 0.008±0.002 mg] | Minerals [Calcium: 19.57±5.45 mg, Iron: 0.24±0.12 mg, Magnesium: 0.005±0.004 mg, Zinc: 30.81±5.81 mg]"
D035,"[D035] Capsicum, yellow (Capsicum annuum)","Macronutrients [Protein: 1.35±0.35g, Fat: 0.72±0.12g, Carbs: 1.95±0.16g] | Water-Soluble Vitamins [Folate (B9): 66.15±2.56 mcg, Vitamin C: 127±12.5 mg, B1: 4 mg, B2: 0.14±0.012 mg] | Water-Soluble Vitamins [Folate (B9): 0.18±0.03 mcg, Vitamin C: 35.25±12.82 mg, B1: 4 mg, B2: 0.89±0.18 mg] | Minerals [Calcium: 0.23±0.07 mg, Iron: 0.03±0.02 mg, Magnesium: 0.001±0.000 mg, Zinc: 19.13±4.17 mg] | Minerals [Calcium: 17.23±4.30 mg, Iron: 0.17±0.05 mg, Magnesium: 0.008±0.002 mg, Zinc: 43.33±10.64 mg]"
D036,[D036] Cauliflower (Brassica oleracea var. botrytis),"Macronutrients [Protein: 2.15±0.15g, Fat: 0.91±0.10g, Carbs: 2.03±0.22g] | Water-Soluble Vitamins [Folate (B9): 45.95±2.95 mcg, Vitamin C: 47.14±7.47 mg, B1: 6 mg, B2: 0.04±0.003 mg] | Water-Soluble Vitamins [Folate (B9): 0.02±0.00 mcg, Vitamin C: 14.33±0.34 mg, B1: 6 mg, B2: 1.32±0.16 mg] | Minerals [Calcium: 0.17±0.13 mg, Iron: 25.16±3.47 mg, Magnesium: 0.007±0.003 mg, Zinc: 0.001±0.001 mg] | Minerals [Calcium: 23.08±4.37 mg, Iron: 0.23±0.08 mg, Magnesium: 0.002±0.001 mg, Zinc: 0.013±0.005 mg]"
D037,[D037] Celery stalk (Apium graveolens),"Macronutrients [Protein: 0.98±0.13g, Fat: 1.50±0.16g, Carbs: 2.33±0.23g] | Water-Soluble Vitamins [Folate (B9): 22.48±1.33 mcg, Vitamin C: 12.30±2.89 mg, B1: 3 mg, B2: 0.03±0.007 mg] | Water-Soluble Vitamins [Folate (B9): 0.03±0.03 mcg, Vitamin C: 25.87±3.13 mg, B1: 3 mg, B2: 1.39±0.07 mg] | Minerals [Calcium: 1.32±0.34 mg, Iron: 0.51±0.10 mg, Magnesium: 0.002±0.001 mg, Zinc: 38.73±3.38 mg] | Minerals [Calcium: 17.12±6.63 mg, Iron: 0.24±0.04 mg, Magnesium: 0.011±0.001 mg, Zinc: 44.84±9.18 mg]"
D038,[D038] Cho-cho-marrow (Sechium edule),"Macronutrients [Protein: 0.66±0.07g, Fat: 0.38±0.05g, Carbs: 3.47±0.18g] | Water-Soluble Vitamins [Folate (B9): 63.03±9.04 mcg, Vitamin C: 20.21±5.48 mg, B1: 4 mg, B2: 0.01±0.000 mg] | Water-Soluble Vitamins [Folate (B9): 0.09±0.01 mcg, Vitamin C: 1.78±0.21 mg, B1: 4 mg, B2: 5.46±0.18 mg] | Minerals [Calcium: 18.64±2.31 mg, Iron: 0.006±0.002 mg, Magnesium: 0.001±0.001 mg, Zinc: 0.05±0.01 mg] | Minerals [Calcium: 13.05±1.03 mg, Iron: 0.17±0.09 mg, Magnesium: 0.002±0.001 mg, Zinc: 0.008±0.005 mg]"
D039,[D039] Cluster beans (Cyamopsis tetragonoloba),"Macronutrients [Protein: 3.55±0.38g, Fat: 1.68±0.13g, Carbs: 4.91±0.58g] | Water-Soluble Vitamins [Folate (B9): 41.24±4.35 mcg, Vitamin C: 17.96±5.83 mg, B1: 6 mg, B2: 0.05±0.006 mg] | Water-Soluble Vitamins [Folate (B9): 0.81±0.04 mcg, Vitamin C: 23.70±0.30 mg, B1: 6 mg, B2: 13.72±0.29 mg] | Minerals [Calcium: 0.33±0.08 mg, Iron: 121±17.8 mg, Magnesium: 0.013±0.004 mg, Zinc: 0.004±0.000 mg] | Minerals [Calcium: 81.74±10.44 mg, Iron: 0.39±0.12 mg, Magnesium: 0.022±0.007 mg, Zinc: 0.057±0.016 mg]"
D040,"[D040] Colocasia, stem, black (Colocasia esculenta)","Macronutrients [Protein: 0.76g, Fat: 0.91g, Carbs: 3.83g] | Water-Soluble Vitamins [Folate (B9): 30.88 mcg, Vitamin C: 5.15 mg, B1: 1 mg, B2: 0.02 mg] | Water-Soluble Vitamins [Folate (B9): 0.06 mcg, Vitamin C: 35.75 mg, B1: 1 mg, B2: 0.21 mg] | Minerals [Calcium: 1.16 mg, Iron: 0.001 mg, Magnesium: 29.46 mg, Zinc: 0.015 mg] | Minerals [Calcium: 11.07 mg, Iron: 2.00 mg, Magnesium: 0.003 mg, Zinc: 0.013 mg]"
D041,"[D041] Colocasia, stem, green (Colocasia esculenta)","Macronutrients [Protein: 0.91±0.16g, Fat: 1.00±0.04g, Carbs: 2.86±0.34g] | Water-Soluble Vitamins [Folate (B9): 25.32±3.00 mcg, Vitamin C: 5.83±1.28 mg, B1: 5 mg, B2: 0.02±0.004 mg] | Water-Soluble Vitamins [Folate (B9): 0.09±0.03 mcg, Vitamin C: 33.68±6.36 mg, B1: 5 mg, B2: 0.14±0.03 mg] | Minerals [Calcium: 1.58±1.42 mg, Iron: 40.21±6.92 mg, Magnesium: 0.020±0.006 mg, Zinc: 0.002±0.002 mg] | Minerals [Calcium: 19.56±4.36 mg, Iron: 0.37±0.20 mg, Magnesium: 0.005±0.004 mg, Zinc: 0.008±0.003 mg]"
D042,"[D042] Corn, baby(Zea mays)","Macronutrients [Protein: 2.69±0.23g, Fat: 2.79±0.21g, Carbs: 11.66±1.40g] | Water-Soluble Vitamins [Folate (B9): 45.53±11.69 mcg, Vitamin C: 8.59±1.48 mg, B1: 6 mg, B2: 0.15±0.054 mg] | Water-Soluble Vitamins [Folate (B9): 0.13±0.02 mcg, Vitamin C: 75.05±3.66 mg, B1: 6 mg, B2: 31.20±3.77 mg] | Minerals [Calcium: 76.51±13.84 mg, Iron: 0.002±0.001 mg, Magnesium: 0.001±0.000 mg, Zinc: 0.12±0.03 mg] | Minerals [Calcium: 25.47±2.17 mg, Iron: 0.19±0.03 mg, Magnesium: 8.69±1.35 mg, Zinc: 260±19.4 mg]"
D043,"[D043] Cucumber, green, elongate(Cucumis sativus)","Macronutrients [Protein: 0.71±0.11g, Fat: 0.54±0.06g, Carbs: 3.48±0.47g] | Water-Soluble Vitamins [Folate (B9): 16.84±3.17 mcg, Vitamin C: 6.11±1.49 mg, B1: 6 mg, B2: 0.02±0.003 mg] | Minerals [Calcium: 0.07±0.07 mg, Iron: 16.39±3.74 mg, Magnesium: 0.006±0.002 mg, Zinc: 0.002±0.001 mg] | Minerals [Calcium: 20.38±4.95 mg, Iron: 0.08±0.03 mg, Magnesium: 0.002±0.002 mg, Zinc: 0.008±0.002 mg]"
D044,"[D044] Cucumber, green, short (Cucumis sativus)","Macronutrients [Protein: 0.83±0.14g, Fat: 0.52±0.06g, Carbs: 2.82±0.49g] | Water-Soluble Vitamins [Folate (B9): 14.67±1.24 mcg, Vitamin C: 6.21±2.14 mg, B1: 6 mg, B2: 0.02±0.005 mg] | Water-Soluble Vitamins [Folate (B9): 0.02±0.01 mcg, Vitamin C: 8.00±1.51 mg, B1: 6 mg, B2: 1.36±0.19 mg] | Minerals [Calcium: 0.05±0.05 mg, Iron: 19.25±3.46 mg, Magnesium: 0.005±0.002 mg, Zinc: 0.002±0.001 mg] | Minerals [Calcium: 18.48±5.63 mg, Iron: 0.09±0.02 mg, Magnesium: 0.001±0.001 mg, Zinc: 0.008±0.002 mg]"
D045,"[D045] Cucumber, orange, round (Cucumis sativus)","Macronutrients [Protein: 0.98g, Fat: 0.52g, Carbs: 3.01g] | Water-Soluble Vitamins [Folate (B9): 18.77 mcg, Vitamin C: 6.24 mg, B1: 2 mg, B2: 0.02 mg] | Water-Soluble Vitamins [Folate (B9): 0.02 mcg, Vitamin C: 7.50 mg, B1: 2 mg, B2: 1.59 mg] | Minerals [Calcium: 0.10 mg, Iron: 0.001 mg, Magnesium: 21.98 mg, Zinc: 0.006 mg] | Minerals [Calcium: 20.34 mg, Iron: 0.07 mg, Magnesium: 0.002 mg, Zinc: 0.009 mg]"
D046,[D046] Drumstick (Moringa oleifera),"Macronutrients [Protein: 2.62±0.22g, Fat: 1.27±0.09g, Carbs: 3.76±0.70g] | Water-Soluble Vitamins [Folate (B9): 62.75±6.71 mcg, Vitamin C: 71.86±19.13 mg, B1: 6 mg, B2: 0.04±0.002 mg] | Water-Soluble Vitamins [Folate (B9): 0.31±0.07 mcg, Vitamin C: 358±3.4 mg, B1: 6 mg, B2: 1.67±0.25 mg] | Minerals [Calcium: 0.24±0.09 mg, Iron: 33.30±5.54 mg, Magnesium: 0.008±0.003 mg, Zinc: 0.10±0.02 mg] | Minerals [Calcium: 38.10±10.53 mg, Iron: 0.19±0.03 mg, Magnesium: 0.001±0.000 mg, Zinc: 0.011±0.005 mg]"
D047,"[D047] Field beans, tender, broad (Vicia faba)","Macronutrients [Protein: 3.06g, Fat: 0.94g, Carbs: 2.75g] | Water-Soluble Vitamins [Folate (B9): 123 mcg, Vitamin C: 5.99 mg, B1: 2 mg, B2: 0.07 mg] | Water-Soluble Vitamins [Folate (B9): 0.11 mcg, Vitamin C: 26.45 mg, B1: 2 mg, B2: 7.14 mg] | Minerals [Calcium: 0.64 mg, Iron: 70.57 mg, Magnesium: 0.006 mg, Zinc: 0.003 mg] | Minerals [Calcium: 50.88 mg, Iron: 0.56 mg, Magnesium: 0.047 mg, Zinc: 0.037 mg]"
D048,"[D048] Field beans, tender, lean (Vicia faba)","Macronutrients [Protein: 3.71±0.62g, Fat: 1.08±0.12g, Carbs: 2.85±0.32g] | Water-Soluble Vitamins [Folate (B9): 127±28.9 mcg, Vitamin C: 3.84±1.24 mg, B1: 6 mg, B2: 0.08±0.006 mg] | Water-Soluble Vitamins [Folate (B9): 0.10±0.01 mcg, Vitamin C: 26.35±1.83 mg, B1: 6 mg, B2: 7.20±0.10 mg] | Minerals [Calcium: 0.36±0.13 mg, Iron: 58.59±5.21 mg, Magnesium: 0.007±0.003 mg, Zinc: 0.003±0.002 mg] | Minerals [Calcium: 47.42±6.76 mg, Iron: 0.50±0.09 mg, Magnesium: 0.047±0.029 mg, Zinc: 0.039±0.016 mg]"
D049,"[D049] French beans, country (Phaseolus vulgaris)","Macronutrients [Protein: 2.49±0.21g, Fat: 1.05±0.09g, Carbs: 2.68±0.48g] | Water-Soluble Vitamins [Folate (B9): 47.45±8.98 mcg, Vitamin C: 15.81±4.23 mg, B1: 5 mg, B2: 0.04±0.005 mg] | Water-Soluble Vitamins [Folate (B9): 0.07±0.03 mcg, Vitamin C: 15.12±1.18 mg, B1: 5 mg, B2: 1.82±0.14 mg] | Minerals [Calcium: 0.50±0.26 mg, Iron: 55.99±10.70 mg, Magnesium: 0.007±0.002 mg, Zinc: 0.004±0.003 mg] | Minerals [Calcium: 43.01±7.64 mg, Iron: 0.44±0.13 mg, Magnesium: 0.059±0.032 mg, Zinc: 0.056±0.022 mg]"
D050,"[D050] French beans, hybrid (Phaseolus vulgaris)","Macronutrients [Protein: 2.12g, Fat: 0.77g, Carbs: 2.63g] | Water-Soluble Vitamins [Folate (B9): 61.98 mcg, Vitamin C: 1.38 mg, B1: 2 mg, B2: 0.05 mg] | Water-Soluble Vitamins [Folate (B9): 0.09 mcg, Vitamin C: 15.14 mg, B1: 2 mg, B2: 1.85 mg] | Minerals [Calcium: 0.35 mg, Iron: 49.90 mg, Magnesium: 0.004 mg, Zinc: 0.008 mg] | Minerals [Calcium: 34.98 mg, Iron: 0.27 mg, Magnesium: 0.017 mg, Zinc: 0.037 mg]"
D051,"[D051] Jack fruit, raw (Artocarpus heterophyllus)","Macronutrients [Protein: 1.98±0.16g, Fat: 0.99±0.10g, Carbs: 3.48±0.70g] | Water-Soluble Vitamins [Folate (B9): 35.73±5.62 mcg, Vitamin C: 17.51±6.00 mg, B1: 5 mg, B2: 0.05±0.014 mg] | Water-Soluble Vitamins [Folate (B9): 0.05±0.02 mcg, Vitamin C: 22.30±0.71 mg, B1: 5 mg, B2: 6.84±0.48 mg] | Minerals [Calcium: 45.74±7.19 mg, Iron: 0.004±0.002 mg, Magnesium: 0.24±0.07 mg, Zinc: 0.31±0.04 mg] | Minerals [Calcium: 26.60±9.13 mg, Iron: 0.36±0.11 mg, Magnesium: 0.008±0.006 mg, Zinc: 27.78±3.89 mg]"
D052,[D052] Jack fruit,"Macronutrients [Protein: 5.79±0.14g, Fat: 1.02±0.16g, Carbs: 11.81±0.74g] | Water-Soluble Vitamins [Folate (B9): 54.58±12.31 mcg, Vitamin C: 9.68±6.44 mg, B1: 5 mg, B2: 0.06±0.010 mg] | Water-Soluble Vitamins [Folate (B9): 0.06±0.03 mcg, Vitamin C: 13.56±0.22 mg, B1: 5 mg, B2: 1.40±0.19 mg] | Minerals [Calcium: 37.56±3.36 mg, Iron: 0.001±0.001 mg, Magnesium: 0.001±0.001 mg, Zinc: 0.21±0.07 mg] | Minerals [Calcium: 37.04±15.48 mg, Iron: 0.27±0.10 mg, Magnesium: 0.015±0.007 mg, Zinc: 29.33±10.67 mg]"
